GridID,year,gbif_D_moose,gbif_D_roe,gbif_D_wolf
1,2003,,,0.35508060259814067
1,2004,,,0.05760462066327891
1,2006,,0.20799363477464688,
1,2010,0.05785004632619019,0.0824669562707631,
1,2011,,0.07425095620550394,
1,2014,,0.0779297043732948,
1,2015,,0.0,
1,2016,,0.0,
1,2017,,0.14305693117276932,
1,2018,,0.04595509005305316,
1,2019,0.0,0.018792618513413722,
1,2020,,0.3827825347261148,
1,2021,0.0,0.3383071827977343,
1,2022,,0.5141762339308998,
1,2023,,0.4143620269896897,
1,2024,,0.39504197673392144,0.5869300770693119
2,1999,0.009429449131734064,0.1395776537729733,
2,2001,,0.12112875941583287,
2,2002,,0.26780030497668506,
2,2003,0.09576104413928568,0.15991654516879,0.3304029123837552
2,2004,,0.2584247734917276,
2,2006,,0.20799363477464688,
2,2007,0.13398628838065355,0.24750332603240816,
2,2008,0.10738349825561784,0.3678330174252935,
2,2009,0.0780034718598684,0.43241234669360684,
2,2010,0.05785004632619019,0.5372167141963085,
2,2011,,0.4686074355840517,
2,2012,0.25983410478788266,0.4840204564487695,
2,2013,0.08413671930162277,0.5961132801535896,
2,2014,0.07253077726396527,0.47228618375184256,
2,2015,0.010006104099593814,0.6285200610893356,
2,2016,0.0,0.6427871913934984,
2,2017,0.0,0.6515002752197284,
2,2018,0.02241060617626685,0.7090515918890697,
2,2019,0.03513556040833445,0.6700324235515336,
2,2020,0.033897632300124395,0.6581954781148774,
2,2021,0.0982801978479912,0.6696003838801414,
2,2022,0.0,0.6888265636346065,
2,2023,0.07937035372449902,0.6754340098182108,
2,2024,0.012818224471617607,0.7176486984047401,
3,1999,,0.1395776537729733,
3,2000,,0.13539547370182758,
3,2001,0.023554641469239832,0.25258091920868214,
3,2002,,0.26780030497668506,
3,2003,,0.23681112928641215,
3,2004,,0.18153018937410545,
3,2005,0.14811366390554953,0.2579945132595677,
3,2006,0.14540430650641914,0.3394457945674962,
3,2007,,0.34437904507857636,
3,2008,,0.428226295972291,
3,2009,,0.3555177625759847,
3,2010,,0.32004766428747194,
3,2011,0.23853297355230899,0.35949228423359747,
3,2012,,0.26343428023401205,
3,2013,0.08413671930162277,0.5834655691576043,
3,2014,0.16808994900328553,0.6095740464164621,
3,2015,0.10556527583891406,0.74750277596141,
3,2016,,0.6207746404794282,
3,2017,0.16764894087216592,0.6235608238466306,
3,2018,0.18577008925682756,0.6801366276545947,
3,2019,0.15552587891948416,0.6049945362318081,
3,2020,0.1972571153806851,0.6680238627542082,
3,2021,0.030479886506750712,0.7301517661287071,
3,2022,0.0,0.7119424042970769,
3,2023,0.07937035372449902,0.7984142477845086,
3,2024,0.17617770755217832,0.7091556951094445,
4,2001,,0.12112875941583287,
4,2002,,0.5422018039463599,
4,2003,,0.29136870496163925,
4,2004,,0.18153018937410545,
4,2006,,0.3394457945674962,
4,2007,,0.170608741914786,
4,2009,,0.26638374615407656,
4,2010,,0.29081370018123454,
4,2011,,0.3118316642222127,
4,2012,,0.2980107209806931,
4,2013,,0.31390634292502784,
4,2014,,0.3408340239589933,
4,2015,0.010006104099593814,0.43667462274948887,
4,2016,0.0,0.533383166599456,
4,2017,0.0472586223610162,0.5943268597403932,
4,2018,,0.5717637292244503,
4,2019,0.15552587891948416,0.580490128437926,
4,2020,,0.42162084873913447,
4,2021,0.0,0.4841697187216636,
4,2022,0.0,0.37826162403752317,
4,2023,,0.3738586857839809,
4,2024,0.0,0.31040568999203927,
5,2007,,0.170608741914786,
5,2008,,0.10492869783959502,
5,2012,0.09647462170732189,,
5,2015,,0.13145215979284924,
5,2016,,0.09202570397559816,
5,2017,,0.10073878780182823,
5,2018,,0.0,
5,2019,0.0,0.0,
5,2021,,0.0,0.16732585800759675
